Jenkins Build Number	Install ID	Date (UTC)	Status	Failing Step	Staging tests passed	Production tests passed	Name	Owner	Requested Revision	Installed Revision	Section Label	Tool Shed URL	Log Path
UPDATE	local_20200131163311	Fri 31 Jan 2020 16:34:40 AEDT	Script error	Staging Installation			mlst	 iuc	latest		 Bacterial Typing	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131163311
UPDATE	local_20200131165208	Fri 31 Jan 2020 16:53:21 AEDT	Installed		1/1	1/1	gemini_actionable_mutations	 iuc	latest	f62ed0e84665	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200131165208	Fri 31 Jan 2020 16:54:58 AEDT	Installed		1/1	1/1	gemini_amend	 iuc	latest	b8b120a4cef7	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200131165208	Fri 31 Jan 2020 16:57:47 AEDT	Installed		5/5	5/5	gemini_burden	 iuc	latest	12112e6e5ea4	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200131165208	Fri 31 Jan 2020 17:00:33 AEDT	Installed		5/5	5/5	gemini_db_info	 iuc	latest	496124e09f82	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200131165208	Fri 31 Jan 2020 17:01:58 AEDT	Installed		1/1	1/1	gemini_gene_wise	 iuc	latest	4f55668547fc	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200131165208	Fri 31 Jan 2020 17:09:51 AEDT	Installed			1/1	iqtree	 iuc	latest	973a28be3b7f	 Phylogenetics	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200131165208
UPDATE	local_20200203100350	Mon 3 Feb 2020 10:05:03 AEDT	Installed		1/1	1/1	gemini_actionable_mutations	 iuc	latest	f62ed0e84665	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203100350
UPDATE	local_20200203100350	Mon 3 Feb 2020 10:06:25 AEDT	Installed		1/1	1/1	gemini_amend	 iuc	latest	b8b120a4cef7	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203100350
UPDATE	local_20200203100350	Mon 3 Feb 2020 10:09:06 AEDT	Installed		5/5	5/5	gemini_burden	 iuc	latest	12112e6e5ea4	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203100350
UPDATE	local_20200203100350	Mon 3 Feb 2020 10:11:39 AEDT	Installed		5/5	5/5	gemini_db_info	 iuc	latest	496124e09f82	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203100350
UPDATE	local_20200203100350	Mon 3 Feb 2020 10:12:50 AEDT	Installed		1/1	1/1	gemini_gene_wise	 iuc	latest	4f55668547fc	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203100350
UPDATE	local_20200203111240	Mon 3 Feb 2020 11:13:37 AEDT	Installed		1/1	0/0	gemini_amend	 iuc	latest	b8b120a4cef7	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203111240
UPDATE	local_20200203111523	Mon 3 Feb 2020 11:16:08 AEDT	Shed-tools error	Production Installation	1/1		gemini_amend	 iuc	latest	b8b120a4cef7	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203111523
UPDATE	local_20200203112651	Mon 3 Feb 2020 11:27:02 AEDT	Script Error	Staging Installation			gemini_amend	 iuc	latest	'b8b120a4cef7')]	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203112651
REQUEST	local_20200203142321	Mon 3 Feb 2020 14:23:25 AEDT	Shed-tools error	Staging Installation			README		README				logs/webhook_tool_installation_local_20200203142321
REQUEST	local_20200203142411	Mon 3 Feb 2020 14:24:15 AEDT	Shed-tools error	Staging Installation			README		README				logs/webhook_tool_installation_local_20200203142411
REQUEST	local_20200203150516	Mon 3 Feb 2020 15:05:38 AEDT	Errored	Staging Installation			circos	 iuc	latest	a64dc31ab7f2	 Graph/Display Data	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203150516
REQUEST	local_20200203150739	Mon 3 Feb 2020 15:08:00 AEDT	Errored	Staging Installation			circos	 iuc	latest	a64dc31ab7f2	 Graph/Display Data	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203150739
REQUEST	local_20200203161814	Mon 3 Feb 2020 16:18:23 AEDT	Already Installed	Production Installation			gemini_lof_sieve	 iuc	latest	295814260d95	 Gemini Tools	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203161814
REQUEST	local_20200203162007	Mon 3 Feb 2020 16:20:27 AEDT	Errored	Staging Installation			circos	 iuc	latest	a64dc31ab7f2	 Graph/Display Data	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203162007
REQUEST	local_20200203162323	Mon 3 Feb 2020 16:28:18 AEDT	Tests failed	Staging Testing	12/13		circos	 iuc	latest	a64dc31ab7f2	 Graph/Display Data	 toolshed.g2.bx.psu.edu	logs/webhook_tool_installation_local_20200203162323
REQUEST	502	Mon 3 Feb 23:49:26 UTC 2020	Errored	Production Installation	0/0		data_manager_bowtie2_index_builder	 devteam	83da94c0e4a6	83da94c0e4a6	 None	 toolshed.g2.bx.psu.edu	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_502
REQUEST	502	Mon 3 Feb 23:50:02 UTC 2020	Errored	Production Installation	0/0		data_manager_bwa_mem_index_builder	 devteam	46066df8813d	46066df8813d	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:50:31 UTC 2020	Installed		0/0	0/0	data_manager_fetch_busco	 iuc	53eec20e8fb6	53eec20e8fb6	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:50:59 UTC 2020	Errored	Production Installation	0/0		data_manager_fetch_genome_dbkeys_all_fasta	 devteam	b1bc53e9bbc5	b1bc53e9bbc5	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:52:26 UTC 2020	Errored	Production Installation	0/0		data_manager_gatk_picard_index_builder	 devteam	b31f1fcb203c	b31f1fcb203c	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:53:00 UTC 2020	Installed		0/0	0/0	data_manager_gemini_database_downloader	 iuc	172815da3d41	172815da3d41	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:53:01 UTC 2020	Already Installed	Production Installation			data_manager_gemini_database_downloader	 iuc	b4b2b284230a	b4b2b284230a	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:53:02 UTC 2020	Already Installed	Production Installation			data_manager_gemini_database_downloader	 iuc	f57426daa04d	f57426daa04d	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:54:05 UTC 2020	Errored	Production Installation	0/0		data_manager_hisat2_index_builder	 iuc	d210e1f185bd	d210e1f185bd	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:54:46 UTC 2020	Errored	Production Installation	0/0		data_manager_kallisto_index_builder	 iuc	6843a0db2da0	6843a0db2da0	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Mon 3 Feb 23:55:26 UTC 2020	Errored	Production Installation	0/0		data_manager_sam_fasta_index_builder	 devteam	1865e693d8b2	1865e693d8b2	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Tue 4 Feb 00:57:01 UTC 2020	Errored	Production Installation	0/0		data_manager_snpeff	 iuc	a6400027d849	a6400027d849	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Tue 4 Feb 00:57:03 UTC 2020	Already Installed	Production Installation			data_manager_twobit_builder	 devteam	9946bc39c834	9946bc39c834	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
REQUEST	502	Tue 4 Feb 01:00:10 UTC 2020	Tests failed	Staging Testing	6/9		rnachipintegrator	 pjbriggs	b695071de766	b695071de766	 None	 toolshed.g2.bx.psu.edu	tmp/requests/install_log.txt
